First Name,Last Name,ID,Height,Eye Color,Hair Color,Gender,Skin Color,Social,Processing,Decision,Tactics
Isaias,Huffman,0000045,0.55,0.68,0.45,0.25,0.33,0.16,0.62,0.02,0.4
Hayley,Sanders,0000046,0.02,0,0.64,0.85,0.15,0.9,0.99,0.53,0.8
Jose,Monroe,0000047,0.39,0.46,0,0.05,0.4,0.56,0.69,0.09,0.26
Carly,Mata,0000048,0.2,0.17,0.01,0.55,0.86,0.25,0.03,0.08,0.98
Ray,Copeland,0000049,0.77,0.93,0.04,0.32,0.82,0.35,0.6,0.38,0.65
Dayana,Chavez,0000050,0.64,0.54,0.74,0.93,0.17,0.45,0.58,0.03,0.1
Ian,Ochoa,0000051,0.71,0.24,0.36,0.19,0.26,0.97,0.89,0.88,0.36
Luciana,Velazquez,0000052,0.08,0.23,0.36,0.32,0.22,0.26,0.39,0.28,0.47
Drew,Freeman,0000053,0.03,0.35,0.17,0.16,0.71,0.98,0.41,0.16,0.91
Norah,Reyes,0000054,0.38,0.67,0.26,0.94,0.32,0.24,0.85,0.06,0.89
Eli,Browning,0000055,0.26,0.16,0.74,0.75,0.05,0.34,0.36,0.96,0.68
Princess,Sanders,0000056,0.87,0.94,0.73,0.73,0.01,0.5,0.36,0.43,0.15
Jose,Walton,0000057,0.21,0.62,0.51,0.82,0.19,0.22,0.31,0.99,0.1
Scarlet,Hill,0000058,0.58,0.71,0.83,0.79,0.28,0.3,0.74,0.47,0.84
Isaac,Nolan,0000059,0.79,0.44,0.37,0.63,0.85,0.27,0.91,0.86,0.37
Itzayana,Bentley,0000060,0.15,0.54,0.09,0.06,0.37,0.83,0.88,0.54,0.99
Randy,Clements,0000061,0.68,0.29,0.59,0.04,0.15,0.15,0.5,0.84,0.49
Cara,Weiss,0000062,0,0.25,0.44,0.21,0.43,0.97,0.43,0.97,0.85
Koa,Guerra,0000063,0.56,0.21,0.57,0.88,0.92,0.6,0.35,0.8,0.35
Edith,Barry,0000064,0.37,0.1,0.6,0.9,0.84,0.27,0.31,0.31,0.22
Emery,Donovan,0000065,0.41,0.13,0.9,0.49,0.58,0.88,0.89,0.17,0.35
Azariah,Bailey,0000066,0.15,0.05,0.05,0.27,0.48,0.65,0.3,0.64,0.67
Axel,Clements,0000067,0.78,0.01,0.3,0.64,0.48,0.43,0.93,0.28,0.67
Cara,West,0000068,0.83,0.04,0.39,0.33,0.58,0.25,0.46,0.37,0.3
Diego,White,0000069,0.34,0.07,0.99,0.1,0.87,0.47,0.12,0.48,0.59
Layla,Ortiz,0000070,0.22,0.31,0.56,0.83,0.77,0.51,0.21,0.42,0.05
Landon,Dalton,0000071,0.05,0.73,0.02,0.17,0.67,0.49,0.5,0.77,0.56
Lilian,Liu,0000072,0.18,0.4,0.47,0.83,0.81,0.85,0.87,0.27,0.33
Pedro,Hancock,0000073,0.65,0.44,0.72,0.57,0.35,1,0.61,0.72,0.18
Katelyn,Johnston,0000074,0.13,0.4,0.9,0.99,0.78,0.3,0.45,0.69,0.16
Felix,Horn,0000075,0.75,0.26,0.94,0.91,0.03,0.57,0.49,0.2,0.24
Avah,Morales,0000076,0.54,0.75,0.11,0.76,0.44,0.1,0.99,0.03,0.49
Aaron,Cisneros,0000077,0.25,0.73,0.38,0.48,0.39,0.52,0.08,0.91,0.51
Janelle,Hendrix,0000078,0.04,0.21,0.12,0.91,0.61,0.84,0.38,0.28,0.06
Korbyn,Humphrey,0000079,0.68,0.6,0.75,0.19,0.98,0.02,0.64,0.84,0.58
Journi,Gillespie,0000080,0.29,0.46,0.3,0.89,0.98,0.36,0.2,0.08,0.92
Forest,Bauer,0000081,0.31,0.82,0.85,0.4,0.33,0.07,0.43,0.94,0.18
Haley,Kim,0000082,0.9,0.72,0.4,0.31,0.32,0.09,0.68,1,0.59
Roman,Hobbs,0000083,0.76,0.9,0.21,0.58,0.34,0.73,0.61,0.32,0.92
Lacey,Bailey,0000084,0.57,0.43,0.67,0.35,0.51,0.8,0.91,0.69,0.95
Axel,Collier,0000085,0.76,0.59,0.24,0.53,0.75,0.03,0.33,0.86,0.27
Ivory,Fitzgerald,0000086,0.83,0.3,0.28,0.6,0.13,0.51,0.64,0.93,0.42
Peyton,Cummings,0000087,0.41,0.85,0.4,0.91,0.44,0.36,0.44,0.99,0.47
Nylah,Nguyen,0000088,0.59,0.94,0.91,0.16,0.55,0.75,0.77,0.42,0.62
Gabriel,Haynes,0000089,0.7,0.93,0.42,0.95,0.99,0.99,1,0.21,0.01
Lexi,Chandler,0000090,0.38,0.97,0.6,0.94,0.37,0.09,0.49,0.7,0.05
Royal,Daniel,0000091,0.02,0.54,0.14,0.36,0.58,0.8,0.92,0.35,0.33
Joy,McKenzie,0000092,0.15,0.31,0.4,0.44,0.32,0.62,0.14,0.25,0.52
Scott,Bishop,0000093,0.5,0.56,0.72,0.47,0.19,0.24,0.4,0.57,0.35
Brooklynn,Medrano,0000094,0.64,0.31,0.39,0.54,0.22,0.29,0.32,0.15,0.99
Arian,Cummings,0000095,0.71,0.97,0.65,0.01,0.24,0.5,0.49,0.03,0.85
Nylah,Case,0000096,0.17,0.6,0.1,0.72,0.96,0.25,0.71,0.96,0.73
Bentlee,Roman,0000097,0.54,0.08,0.7,0.95,0.23,0.76,0.51,0.45,0.28
Astrid,Good,0000098,0.3,0.98,0.86,0.88,0.52,0.12,0.46,0.07,0.08
Davian,Estrada,0000099,0.31,0.37,0.22,0.65,0.42,0.31,0.35,0.34,0.33
Sawyer,Branch,0000100,0.76,0.15,0.5,0.72,0.76,0.09,0.32,0.97,0.71
Keenan,Howard,0000101,0.11,0.32,0.12,0.72,0.88,0.16,0.15,0.12,0.65
Sophie,Brennan,0000102,0.58,0.37,0.57,0.22,0.91,0.86,0.39,0.53,0.61
Curtis,Golden,0000103,0.38,0.4,0.33,0.96,0.63,0.12,0.24,0.42,0.59
Giuliana,Kirby,0000104,0.6,0.07,0.46,0.04,0.22,0.04,0.85,0.22,0.22
Tony,Ayers,0000105,0.11,0.48,0.37,0.46,0.95,0.96,0.82,0.59,0.77
Simone,Horn,0000106,0.37,0.77,0.54,0.94,0.5,0.68,0.07,0.04,0.48
Wilson,Grant,0000107,0.74,0.67,0.61,0.09,0.04,0.12,0.98,0.22,0.82
Alaina,Stafford,0000108,0.73,0.52,0.66,0.3,0.63,0.31,0.72,0.98,0.49
Alfredo,Gould,0000109,0.8,0.03,0.11,0.62,0.71,0.98,0.26,0.92,0.39
Violeta,Russo,0000110,0.18,0.84,0.83,0.81,0.65,0.07,0.35,0.52,0.21
Jamie,Willis,0000111,0.81,0.69,0.77,0.79,0.62,0.04,0.54,0.49,0.59
Alexa,Greene,0000112,0.58,0.79,0.98,0.07,0.57,0.76,0.33,0.83,0.26
Griffin,Summers,0000113,0.19,0.75,0.75,0.76,0.14,0.37,0.18,0.07,0.35
Frankie,Nielsen,0000114,0.48,0.68,0.22,0.74,0.37,0.16,0.08,0.22,0.62
Tru,Jackson,0000115,0.72,0.41,0.33,0.51,0.34,0.93,0.02,0.06,0.45
Avery,Orozco,0000116,0.9,0.63,0.94,0.19,0.51,0.59,0.56,0.54,0.09
Keanu,Flores,0000117,0.54,0.86,0.35,0.46,0.05,0.52,0.09,0.96,0.95
Emilia,Potter,0000118,0.38,0.57,0.9,0.36,0.48,0.83,0.96,0.71,0.57
Lucca,Cobb,0000119,0.99,0.43,0.86,0.81,0.65,0.22,0.23,0.04,0.36
Aviana,Pollard,0000120,0.96,0.72,0.35,0.07,0.4,0.66,0.08,0.26,0.42
Jad,Dean,0000121,0.37,0.74,0.92,0.65,0.22,0.64,0.35,0.18,0.53
Julianna,Walker,0000122,0.89,0.95,0.14,0.3,0.8,0,0.07,0.21,0.16
Luke,Brandt,0000123,0.55,0.85,0.16,0.97,0.42,0.21,0.21,0.81,0.24
Loretta,Melton,0000124,0.08,0.06,0.34,0.95,0.62,0.99,0.89,0.68,0.01
Lennon,Gregory,0000125,0.79,0.99,0.17,0.22,0.82,0.87,0.57,0.17,0.05
Alaya,Bradshaw,0000126,0.35,0.79,0.22,0.8,0.08,0.84,0.84,0.18,0.83
Emory,Mejia,0000127,0.83,0.63,0.28,0.58,0.15,0.96,0.4,0.42,0.09
Saylor,Parker,0000128,0.96,0.27,0.25,0.22,0.56,0.11,0.97,0.33,0.54
Caleb,Blevins,0000129,0.64,0.71,0.49,0.68,0.85,0.41,0.95,0.28,0.17
Aila,Friedman,0000130,0.49,0.54,0.79,0.47,0.11,0.75,0.8,0.45,0.96
Darwin,Knapp,0000131,0.78,0.51,0.39,0.75,0.96,0.67,0.45,0.45,0.26
Linda,Faulkner,0000132,0.96,0.15,0.33,0.94,0.96,0.47,0.37,0.12,0.41
Jabari,Bowman,0000133,0.79,0.25,0.05,0.97,0.79,0.91,0.93,0.81,0.37
Fiona,Xiong,0000134,0.06,0.11,0.94,0.21,0.58,0.98,0.65,0.84,0.79
Azrael,Bonilla,0000135,0.57,0.14,0.77,0.3,0.87,0.53,0.53,0,0.92
Romina,Tapia,0000136,0.93,0.73,0.58,0.02,0.72,0.62,0.5,0.05,0.79
Samir,Conway,0000137,0.5,0.7,0.51,0.56,0.15,0.57,0.62,0.08,0.23
Ryann,Moody,0000138,0.04,0.93,0.58,0.75,0.44,0.83,0.01,0.44,0.39
Ryland,Wilcox,0000139,0.33,0.29,0.69,0.68,0.76,0.07,0.89,0.43,0.15
Ashlyn,Landry,0000140,0.94,0.18,0.16,0.49,0.23,0.64,0.42,0.91,0.94
Jaxx,Parra,0000141,0.89,0.37,0.75,0.21,0.86,0.35,0.64,0.73,0.59
Dalary,Horton,0000142,0.23,0.14,0.26,0.84,0.61,0.92,0.2,0.37,0.09
Garrett,Valenzuela,0000143,0.93,0.19,0.85,0.47,0.59,0.28,0.61,0.63,0.58
Henley,Martinez,0000144,0.92,0.64,0.43,0.07,0.44,0.63,0.42,0.05,0.52
Alexander,Bridges,0000145,0.19,0.28,0.95,0.54,0.74,0.08,0.17,0.55,0.46
Elora,Reese,0000146,0.38,0.31,0.09,0.82,0.77,0.8,0.63,0.33,0.58
Alijah,Lyons,0000147,0.65,0.32,0.4,0.48,0.58,0.29,0.77,0.15,0.28
Kenzie,Patrick,0000148,0.51,0.38,0.54,0.89,0.41,0.87,0,0.56,0.69
Derrick,Lester,0000149,0.61,0.02,0.61,1,0.61,0.58,0.83,0.66,0.24
Averi,Wallace,0000150,0.28,0.39,0.37,0.76,0.04,0.58,0.65,0.87,0.09
Chase,Sexton,0000151,0.2,0.9,0.63,0.44,0.13,0.8,0.87,0.34,0.18
Ellen,Waters,0000152,0.23,0.55,0.57,0.31,0.07,0.58,0.44,0.06,0.31
Maximilian,Lowery,0000153,0.22,0.99,0.19,0.48,0.46,0.19,0.44,0.41,0.11
Estelle,Cohen,0000154,0.85,0.06,0.49,0.25,0.33,0.12,0.71,0.05,0.25
Killian,Tyler,0000155,0.1,0.24,0.36,0.74,0.25,0.45,0.1,1,0.83
Helena,Gould,0000156,0.65,0.1,0.11,0.64,0.42,0.6,0.68,0.75,0.65
Blaine,Juarez,0000157,0,0.71,0.61,0.88,0.55,0.35,0.43,0.11,0.86
Juliet,Galvan,0000158,0.86,0.7,0.06,0.42,0.26,0.1,0.15,0.99,0.95
Kingsley,Reynolds,0000159,0.22,0.06,0.24,0.06,0.65,0.83,0.54,0.1,0.3
Isabelle,Mayo,0000160,0.78,0.02,0.12,0.8,0.13,0.89,0.5,0.91,0.03
Jericho,Abbott,0000161,0.62,0.94,0.85,0.26,0.39,0.75,0.14,0.67,0.56
Melany,Garza,0000162,0.26,0.76,0.45,0.09,0.42,0.28,0.99,0.16,1
Judah,Greer,0000163,0.82,0.95,0.4,0.6,0.1,0.26,0.45,0.65,0.71
Reina,Gallegos,0000164,0.01,0.89,0.71,0.42,0.19,0.03,0.83,0.38,0.27
Jonas,Frank,0000165,0.41,0.38,0.86,0.04,0.37,0.45,0.02,0.94,0.15
Dior,Butler,0000166,0.81,0.65,0.56,0.62,0.98,0.19,0.62,0.29,0
Ryder,Fuentes,0000167,0.66,0.46,0.59,0.83,0.89,0.37,0.67,0.26,0.89
Madeleine,Goodwin,0000168,0.95,0.24,0.39,0.53,0.42,0.14,0.11,0.14,0.15
Kaison,Combs,0000169,0.31,0.22,0.22,0.66,0.96,0.46,0.59,0.45,0.21
Irene,House,0000170,0.14,0.84,0.29,0.45,0.71,0.13,0.77,0.38,0.82
Yehuda,Medina,0000171,0.84,0.98,0.52,0.24,0.81,0.8,0.19,0.87,0.94
Elliana,Lara,0000172,0.3,0.14,0.21,0.19,0.75,0.7,0.9,0.27,0.27
Caiden,Arias,0000173,0.65,0.91,0.22,0.56,0.7,0.18,0.11,0.96,0.72
Aleah,Wilson,0000174,0,0.71,0.32,0.25,0.91,0.45,0.99,0.41,0.51
Daniel,Zimmerman,0000175,0.62,0.93,0.66,0.05,0.18,0.55,0.38,0.38,0.93
Ariyah,Porter,0000176,0.37,0.77,0.12,0.93,0.28,0.05,0.65,0.45,0.07
Rhett,Guevara,0000177,0.83,0.15,0.29,0.38,0.37,0.03,0.3,0.8,0.87
Teresa,Harmon,0000178,0.76,0.31,0.22,0.33,0.26,0.2,0.84,0.99,0.96
Roberto,Evans,0000179,0.35,0.6,0.27,0.11,0.02,0.06,0.18,0.76,0.82
Eliana,Ellis,0000180,0.26,0.08,0.93,0.12,0.11,0.58,0.81,0.26,0.6
Cole,Walton,0000181,0.38,0.4,0.66,0.74,0.84,0.9,0.86,0.1,0.21
Scarlet,Shepard,0000182,0.21,0.44,0.09,0.23,0.24,0.24,0.07,0.96,0.29
Damari,Hood,0000183,0.5,0.73,0.44,0.17,0.28,0.14,0.1,0.99,0.31
Briana,Parsons,0000184,0.44,0.18,0.79,0.51,0.78,0.43,0.55,0.47,0.92
Lewis,Greer,0000185,0.04,0.12,0.96,0.43,0.23,0.06,0.06,0.31,0.11
Reina,Dixon,0000186,0.65,0.08,0.29,0.28,0.13,0.7,0.03,0.79,0.53
Camden,Morgan,0000187,0.49,0.4,0.25,0.77,0.81,0.32,0.63,0.67,0.37
Delilah,Murray,0000188,0.83,0.23,0.45,0.9,0.29,0.97,0.73,0.02,0.89
Ashton,Lindsey,0000189,0.2,0.19,0.32,0.38,0.23,0.83,0.18,0.96,0.06
Colette,Montoya,0000190,0.42,0.65,0.94,0.74,0.12,0.82,0.67,0.94,0.08
Ford,Schmitt,0000191,0.18,0.51,0.83,0.64,0.86,0.45,0.82,0.1,0.04
Queen,Decker,0000192,0.75,0.16,0.96,0.84,0.06,0.65,0.45,0.91,0.91
Taylor,Pitts,0000193,0.52,0.95,0.96,0.79,0.51,0.43,0.19,0.08,0.53
Nala,Lowery,0000194,0.32,0.71,0.86,0.05,0.46,0.75,0.6,0.93,0.76
Jaxxon,Cook,0000195,0.01,0.65,0.75,0.65,0.92,0.54,0.42,0.13,0.25
Aaliyah,Dougherty,0000196,0.07,0.03,0.6,0.25,0.35,0.46,0.26,0.36,0.91
Brett,Hendrix,0000197,0.46,0.32,0.66,0.56,0.8,0.7,0.49,0.31,0.4
Zhuri,Jarvis,0000198,0.53,0.33,0.09,0.52,0.69,0.57,0.45,0.66,0.33
Marlon,Burnett,0000199,0.17,0.54,0.07,0.98,0.17,0.59,0.64,0.39,0.36
Emberly,Brandt,0000200,0.42,0.44,0.69,0.73,0.63,0.89,0.46,0.63,0.03
Damir,Correa,0000201,0.43,0.02,0.03,0.95,0.21,0.24,0.6,0.92,0.44
Valery,Phelps,0000202,0.04,0.69,0.89,0.27,0.22,0.31,0.43,0.64,0.81
Hamza,Stephens,0000203,0.44,0.41,0.66,0.3,0.64,0.97,0.75,0.33,0.95
Millie,Yoder,0000204,0.2,0.27,0.81,0.08,0.28,0.04,0.31,0.91,0.1
Johan,Yates,0000205,0.43,0.32,0.36,0.12,0.66,0.65,0.41,0.15,0.79
Charley,Henson,0000206,0.38,0.7,0.16,0.3,0.49,0.65,0.14,0.19,0.68
Bellamy,Casey,0000207,0.7,0.11,0.32,0.2,0.74,0.97,0.48,0.47,0.66
Sylvia,Sampson,0000208,0.05,0.2,0.84,0.04,0.41,0.99,0.6,0.31,0.31
Cain,Mitchell,0000209,0.47,0.93,0.97,0.88,0.61,0.57,0.5,0.51,0.03
Willow,Montoya,0000210,0.98,0.06,0.27,0.39,0.34,0.22,0.7,0.4,0.77
Ford,Price,0000211,0.41,0.97,0.07,0.11,0.46,0.8,0.89,0.53,0.63
Piper,Craig,0000212,0.58,0.86,0.84,0.73,0.38,0.56,0.78,0.27,0.96
Odin,Thompson,0000213,0.73,0.45,0.31,0.46,0.88,0.46,0.44,0.33,0.29
Madison,Dixon,0000214,0.87,0.16,0.58,0.02,0.84,0.82,0.34,0.71,0.08
Camden,Archer,0000215,0.86,0.22,0.62,0.15,0.84,0.07,0.78,0.95,0.38
Kadence,Vaughn,0000216,0.33,0.58,0.97,0.25,0.97,1,0.02,0.84,0.39
Remy,George,0000217,0.17,0.27,0.49,0.13,0.21,0.35,0.84,0.84,0.45
Adelyn,Preston,0000218,0.45,0.09,0.14,0.47,0.84,0.09,0.25,0.44,0.99
Vincenzo,Cox,0000219,0.11,0.4,0.54,0.82,0.89,0.21,0.33,0.29,0.01
Sadie,Robinson,0000220,0.9,0.66,0.5,0.97,0.25,0.97,0.27,0.6,0.03
Matthew,Lewis,0000221,0.33,0.39,0.13,0.72,0.97,0.17,0.4,0.91,0.15
Ellie,Mathis,0000222,0.35,0.27,0.35,0.09,0.6,0.21,0.93,0.57,0.37
Gustavo,Hanson,0000223,0.59,0.77,0.59,0.44,0.89,0.85,0.59,0.08,0.73
Mariana,Woods,0000224,0.92,0.96,0.07,0.41,0.75,0.62,0.87,0.43,0.41
Zion,Daniels,0000225,0.98,0.81,0.28,0.28,0.5,0.98,0.07,0.22,0.46
Ember,Kirby,0000226,0.44,0.19,0.95,0.16,0.7,0.77,0.59,0.76,0.03
Tony,Sharp,0000227,0.02,0.25,0.05,0.81,0.2,0.67,0.41,0.96,0.61
Camryn,Phelps,0000228,0,0.36,0.16,0.97,0.38,0.59,0.46,0.34,0.41
Hamza,Mullins,0000229,0.63,0.44,0.36,0.47,0.19,0.33,0.77,0.97,0.87
Maliyah,Roberson,0000230,0.59,0.09,0.44,0.28,0.44,0.21,0.13,0.47,0.7
Shepherd,Estes,0000231,0.6,0.2,0.35,0.23,0.54,0.85,0.77,0.08,0.47
Brittany,Duncan,0000232,0.29,0.14,0.84,0.83,0.85,0.76,0.93,0.04,0.15
Avery,Blevins,0000233,0.2,0.13,0.7,0.24,0.63,0.24,0.24,0.36,0.21
Aila,Weeks,0000234,0.79,0.78,0.96,0.25,0.49,0.07,0.74,0.58,0.72
Anders,Tang,0000235,0.9,0.24,0.37,0.03,0.92,0.08,0.76,0.59,0.65
Belle,Bennett,0000236,0.28,0.34,0.22,0.4,0.72,0.11,0.39,0.7,0.16
Leonardo,Maxwell,0000237,0.46,0.97,0.03,0.52,0.88,0.07,0.7,0.8,0.71
Kyla,Shields,0000238,0.19,0.1,0.34,0.56,0.06,0.99,0.29,0.38,0.26
Devon,Valentine,0000239,0.21,0.56,0.45,0.74,0.59,0.44,0.33,0.59,0.33
August,Golden,0000240,0.14,0.17,0.75,0.18,0.36,0.12,0.14,0.43,0.68
Amias,Hobbs,0000241,0.2,0.11,0.79,0.2,0.92,0.79,0.91,0.96,0.94
Lacey,Bates,0000242,0.5,0.98,0.72,0.3,0.72,0.35,0.01,0.65,0.71
Ellis,Jacobson,0000243,0.12,0.24,0.96,0.55,0.44,0.37,0.35,0.35,0.15
Royal,Hendricks,0000244,0.9,0.36,0.47,0.48,0.01,0.61,0.14,0.43,0.74
Dash,Hammond,0000245,0.92,0.18,0.82,0.6,0.56,0.98,0.43,0.66,0.01
Holly,Kennedy,0000246,0.34,0.39,0.85,0.89,0.3,0.97,0.77,0.66,0.4
Maxwell,Wolf,0000247,0.2,0.01,0.96,0.03,0.76,0.11,0.29,0.21,0.42
Jolene,Koch,0000248,0.89,0.35,0.87,0.26,0.53,0.93,0.41,0.13,0.3
Salvador,Valencia,0000249,0.35,0.74,0.56,0.85,0.84,0.76,0.46,0.62,0.22
Maddison,Nava,0000250,0.32,0.85,0.34,0.25,0.64,0.56,0.9,0.55,0.23
Stefan,Yu,0000251,0.8,0.9,0.11,0.55,0.85,0.24,0.1,0.95,0.93
Navy,Donovan,0000252,0.74,0.28,0.56,0.56,0.47,0.6,0.33,0.13,0.25
Brayan,Smith,0000253,0.03,0.44,0.02,0.58,0.94,0.75,0.46,0.59,0.38
Olivia,Schaefer,0000254,0.05,0.89,0.89,0.05,0.51,0.94,1,0.89,0.1
Ishaan,Wilson,0000255,0.56,0.47,0.99,0.18,0.1,0.39,0.85,0.66,0.75
Luna,Cruz,0000256,0.74,0.25,0.33,0.74,0.09,0.38,0.05,0.59,0.65
Ryan,Cantu,0000257,0.66,0.8,0.29,0.87,0.01,0.37,0.22,0.45,0.78
Galilea,Madden,0000258,0.99,0,0.97,0.32,0.41,0.18,0.43,0.43,0.2
Everest,McCann,0000259,0.18,0.76,0.31,0.22,0.86,0.88,0.37,0.16,0.42
Joyce,Garza,0000260,0.04,0.84,0.1,0.85,0.82,0.64,0.83,0.86,0.77
Judah,Miles,0000261,0.88,0.05,0.13,0.44,0.22,0.13,0.4,0.89,0.58
Alessandra,Soto,0000262,0.2,0.3,0.53,0.9,0.56,0.03,0.89,0.88,0.02
Barrett,Shannon,0000263,0.49,0.59,0.49,0.16,0.2,0.21,0.23,0.38,0.67
Harlee,Brewer,0000264,0.63,0.21,0.49,0.35,0.75,0.01,0.48,0.48,0.91
Cruz,Archer,0000265,0.52,0.63,0.45,0.96,0.61,0.1,0.86,0.58,0.61
Kadence,Patrick,0000266,0.64,0.6,0.71,0.35,0.55,0.01,0.74,0.27,0.38
Derrick,Jensen,0000267,0.49,0.79,0.71,0.8,0.9,0.82,0.07,0.38,0.82
Jane,Banks,0000268,0.29,0.95,0.59,0.18,0.23,0.69,0.68,0.12,0.01
Martin,Savage,0000269,0.42,0.33,0.89,0.27,0.34,0.03,0.89,0.48,0.65
Louise,Mills,0000270,0.78,0.32,0.45,0.1,0.42,0.52,0.92,0.48,0.63
Alex,Robbins,0000271,0.82,0.34,0.61,0.69,0.66,0.72,0.26,0.56,0.65
Stevie,Woods,0000272,0.78,0.16,0.05,0.56,0.92,0.47,0.02,0.98,0.19
Zion,Bush,0000273,0.84,0.19,0.13,0.29,0.68,0.75,0.7,0.08,0.12
Everlee,Clark,0000274,0.03,0.41,0.74,0.21,0.32,0.74,0.79,0.74,0.44
John,Black,0000275,0.13,0.44,0.23,0.7,0.97,0.2,0.89,0.54,0.73
Molly,David,0000276,0.41,0.27,0.27,0.58,0.29,0.36,0.55,0.7,0.65
Alonso,Armstrong,0000277,0.7,0.93,0.58,0.56,0.88,0.11,0.78,0.4,0.72
Presley,Greer,0000278,0.19,0.32,1,0.76,0.42,0.76,0.63,0.67,0.41
Koda,Castillo,0000279,0.99,0.46,0.11,0.45,0.44,0.2,0.16,0.2,0.68
Eva,Fitzpatrick,0000280,0.64,0.03,0.77,0.71,0.26,0.53,0.96,1,0.28
Blaze,Hart,0000281,0.14,0.06,0.13,0.13,0.07,0.35,0.21,0.11,0.91
